"id","Bank_Name","IFSC_Code"
"314","THE ALWAYE URBAN COOPERATIVE BANK LTD.","AWCX"
"315","BANKURA DISTRICT CENTRAL COOPERATIVE BANK LTD.","BADX"
"316","BALASINOR NAGARIK SAHAKARI BANK LTD.","BALX"
"317","BANARAS MERCHANTILE CO OPERATIVE BANK LTD.","BANX"
"318","BARCLAYS BANK PLC","BARC"
"319","THE BARODA CITY CO OPERATIVE BANK LTD.","BARX"
"320","SHRI BASAVESHWAR SAHAKARI BANK NYT.BAGALKOT","BASX"
"321","THE BAVLA NAGRIK SAHAKARI BANK LTD.","BAVX"
"322","BHINGAR URBAN CO-OPERATIVE BANK LTD.","BBLX"
"323","THE BANGALORE BANGALORE RURAL&RAMANAGARA DCCB LTD.","BBRX"
"324","THE BANTRA CO-OPERATIVE BANK LTD.","BCBX"
"325","THE BANGALORE CITY CO-OPERATIVE BANK LIMITED","BCCB"
"326","THE BATHINDA CENTRAL CO-OPERATIVE BANK LTD.","BCCX"
"327","THE BANSWARA CENTRAL CO OPERATIVE BANK LTD.","BCEX"
"328","BANK OF CEYLON","BCEY"
"329","THE BICHOLIM URBAN CO-OPERATIVE BANK LTD.","BCUB"
"330","BANDA URBAN CO OPERATIVE BANK LTD.","BDUX"
"331","BALAGERIA CENTRAL COOP BANK LTD.","BGCX"
"332","BARODA GUJARAT GRAMIN BANK","BGGX"
"333","BANGIYA GRAMIN VIKASH BANK","BGVX"
"334","THE BHAGYODAYA CO OPERATIVE BANK LTD.","BHAX"
"335","BHADOHI URBAN CO OPERATIVE BANK LTD. GYANPUR","BHDX"
"336","BHEL EMPLOYEES COOPERATIVE BANK LTD.","BHEX"
"337","THE BHUJ MERCENTILE COOP BANK LTD.","BHJX"
"338","BRAHMADEODADA MANE SAHAKARI BANK LTD. SOLAPUR","BHMX"
"339","BHOPAL CO OPERATIVE CENTRAL BANK LTD.","BHOX"
"340","BHILWARA URBAN CO-OPERATIVE BANK LTD.","BHUX"
"341","THE BIJNOR URBAN CO OPERATIVE BANK LTD.","BJUX"
"342","THE BANASKANTHA DIST CENTRAL COOP BANK LTD.","BKDX"
"343","BOMBAY MERCANTILE CO-OPERATIVE BANK LTD.","BMCB"
"344","THE BARMER CENTRAL COOPERATIVE BANK LTD.","BMCX"
"345","THE BANASKANTHA MERCANTILE CO-OPERATIVE BANK LTD.","BMPX"
"346","THE BHAGYALAKSHMI MAHILA SAHAKARI BANK LTD.","BMSX"
"347","BHATPARA NAIHATI CO OPERATIVE BANK LTD.","BNCX"
"348","BHAGINI NIVEDITA SAHAKARI BANK LTD.","BNSX"
"349","BANK OF AMERICA","BOFA"
"350","THE BORAL UNION CO OPERATIVE BANK LTD.","BORX"
"351","THE BANK OF TOKYO MITSUBISHI UFJ","BOTM"
"352","THE BHADGAON PEOPLE'S CO-OP BANK LTD.","BPCX"
"353","THE BHAVANA RISHI COOP. URBAN BANK LIMITED","BRCX"
"354","THE BARODA CENTRAL CO-OPERATIVE BANK LTD.","BRDX"
"355","BARODA RAJASTHAN KSHETRIYA GRAMIN BANK","BRGX"
"356","BRAMHAPURI URBAN CO OPERATIVE BANK LTD.","BRMX"
